Name,G,PTS,TRB,AST,STL,BLK,FG_PCT,3P_PCT,FT_PCT,WS,WS_PerMin,TotalAllStar,FirstAllD,SecondAllD,TotalAllD,FirstAllNBA,SecondAllNBA,ThirdAllNBA,TotalAllNBA,HoF
Jeff Mullins,804.0,16.2,4.3,3.8,0.2,0.0,0.463,0.0,0.814,62.8,0.123,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Kenny Anderson,858.0,12.6,3.1,6.1,1.5,0.1,0.421,0.346,0.79,62.5,0.116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
James Donaldson,957.0,8.6,7.8,0.8,0.4,1.3,0.571,0.0,0.732,62.3,0.114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Derek Fisher,1287.0,8.3,2.1,3.0,1.1,0.1,0.399,0.374,0.817,62.3,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Corey Maggette,827.0,16.0,4.9,2.1,0.7,0.2,0.453,0.324,0.822,62.2,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Anfernee Hardaway,704.0,15.2,4.5,5.0,1.6,0.4,0.458,0.316,0.774,61.9,0.125,4.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,No
Joakim Noah,672.0,8.8,9.0,2.8,0.8,1.3,0.491,0.0,0.7,61.9,0.159,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,No
Red Kerr,905.0,13.8,11.2,2.2,0.0,0.0,0.418,0.0,0.723,61.8,0.107,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Derrick McKey,937.0,11.0,4.7,2.4,1.1,0.7,0.486,0.316,0.779,61.8,0.109,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,No
Tom Owens,877.0,11.3,6.8,1.7,0.4,0.5,0.513,0.217,0.743,61.5,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Rudy LaRusso,736.0,15.6,9.4,2.1,0.0,0.0,0.431,0.0,0.767,61.4,0.12,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,No
Marcin Gortat,806.0,9.9,7.9,1.1,0.5,1.1,0.551,0.15,0.68,61.3,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Kevin Martin,714.0,17.4,3.2,1.9,0.9,0.1,0.437,0.384,0.87,61.3,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
David Wesley,949.0,12.5,2.5,4.4,1.3,0.2,0.424,0.368,0.786,61.3,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Fat Lever,752.0,13.9,6.0,6.2,2.2,0.3,0.447,0.31,0.771,61.2,0.123,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,No
Metta World Peace,991.0,13.2,4.5,2.7,1.7,0.5,0.414,0.339,0.715,61.1,0.093,1.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,No
Jamal Crawford,1327.0,14.6,2.2,3.4,0.9,0.2,0.41,0.348,0.862,60.7,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Mike Miller,1032.0,10.6,4.2,2.6,0.6,0.2,0.459,0.407,0.769,60.7,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Mack Calvin,755.0,16.1,2.5,4.8,0.6,0.0,0.447,0.245,0.863,60.4,0.134,5.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,No
James Silas,685.0,16.1,3.0,3.8,0.9,0.2,0.495,0.0,0.855,60.3,0.142,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,No
Joe Smith,1030.0,10.9,6.4,1.0,0.6,0.8,0.455,0.238,0.79,60.3,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
